"","GENE","ORF","ID","Days","pVal","Value","Diff","Abundance","Description"
"1774","FYV4","YHR059W",2024,"4 5 7 10 12 14",0.6936988474012,10.484,-0.259,358,"Protein of unknown function; required for survival upon exposure to K1 killer toxin"
"4539","RGM1","YMR182C",1696,"3 4 5 7 10 14",0.69394888104615,10.474,0.254,NA,"Putative zinc finger DNA binding transcription factor; contains two N-terminal C2H2 zinc fingers and C-terminal proline rich domain; overproduction impairs cell growth and induces expression of genes involved in monosaccharide catabolism and aldehyde metabolism; regulates expression of of Y' telomeric elements and subtelomeric COS genes; relocalizes to the cytosol in response to hypoxia; RGM1 has a paralog, USV1, that arose from the whole genome duplication"
"1776","BUD32","YGR262C",3249,"7 12",0.69395837936412,12.198,-0.147,6840,"Protein kinase; component of the EKC/KEOPS complex with Kae1p, Cgi121p, Pcc1p, and Gon7p; Pyrococcus Bud32 ortholog functions as a P-loop ATPase rather than a protein kinase in the context of the complex; EKC/KEOPS complex is required for t6A tRNA modification and telomeric TG1-3 recombination; may have role in transcription"
"4540","SRD1","YCR018C",2265,"1 2 3 4 5 10",0.694092158823698,10.708,0.26,2100,"Protein involved in the processing of pre-rRNA to mature rRNA; contains a C2/C2 zinc finger motif; srd1 mutation suppresses defects caused by the rrp1-1 mutation"
"1777","RRN7","YJL025W",1314,"3 4 5 7 10 12",0.694462773709886,10.561,-0.218,NA,"Component of the core factor (CF) rDNA transcription factor complex; CF is required for transcription of 35S rRNA genes by RNA polymerase I and is composed of Rrn6p, Rrn7p, and Rrn11p"
"4542",NA,"YFR012W-A",2685,"1 3 4 5 10 12",0.694711392615682,11.43,0.182,799,"Putative protein of unknown function; identified by homology"
"4544","ASG7","YJL170C",2988,"1 4 10 14",0.696360225900079,11.441,0.169,1130,"Protein that regulates signaling from G protein beta subunit Ste4p; contributes to relocalization of Ste4p within the cell; specific to a-cells and induced by alpha-factor"
"4545","MRPL27","YBR282W",2579,"1 2 3 4 5 7 14",0.696830049940206,10.683,0.239,NA,"Mitochondrial ribosomal protein of the large subunit; homolog of human Bcl-2 interacting protein BMRP"
"1779","CDC1","YDR182W",1287,"2 3 7 10 12 14",0.696976633762519,11.1,-0.193,NA,"Putative mannose-ethanolamine phosphate phosphodiesterase; involved in GPI-anchor remodeling prior to the attachment of cell wall proteins to beta 1,3-glucan, removing ethanolamine phosphate from the first mannose of GPI anchors; mutants display elevated Ca2+-dependent signaling resulting in secondary actin polarization and Golgi inheritance defects; enzyme is Mn2+-dependent; mutants have cell division cycle defect and fragile cell walls"
"4548","BAT2","YJR148W",753,"1 2 3 7 10 12",0.699591207717047,12.854,0.081,1130,"Cytosolic branched-chain amino acid (BCAA) aminotransferase; preferentially involved in BCAA catabolism; homolog of murine ECA39; highly expressed during stationary phase and repressed during logarithmic phase; BAT2 has a paralog, BAT1, that arose from the whole genome duplication"
"4549","POM33","YLL023C",3491,"7 12 14",0.699933069481409,16.029,0.028,1630,"Transmembrane nucleoporin; involved in nuclear pore complex (NPC) distribution, assembly or stabilization; highly conserved across species, orthologous to human TMEM33 and paralogous to Per33p; protein abundance increases in response to DNA replication stress"
"4550","MSC3","YLR219W",1223,"1 2 3 5 7 10 14",0.700863697064145,14.547,0.042,NA,"Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cell periphery; msc3 mutants are defective in directing meiotic recombination events to homologous chromatids; potential Cdc28p substrate; protein abundance increases in response to DNA replication stress"
"1781","BRR2","YER172C",1304,"1 3 4 5 7 10 12 14",0.702171841911264,10.388,-0.205,830,"RNA-dependent ATPase RNA helicase (DEIH box); required for disruption of U4/U6 base-pairing in native snRNPs to activate the spliceosome for catalysis; homologous to human U5-200kD"
"4556","COG4","YPR105C",1671,"4 7 10 12",0.702218732091405,10.551,0.224,NA,"Essential component of the conserved oligomeric Golgi complex; a cytosolic tethering complex (Cog1p through Cog8p) that functions in protein trafficking to mediate fusion of transport vesicles to Golgi compartments"
"1782",NA,"YGL039W",2555,"4 5 7 12 14",0.702507861237771,11.213,-0.179,259,"Aldehyde reductase; reduces aliphatic aldehyde substrates using NADH as cofactor; shown to reduce carbonyl compounds to chiral alcohols"
"1783","SIP3","YNL257C",1493,"1 2 3 5 10 12 14",0.702594154721739,10.955,-0.175,5190,"Putative sterol transfer protein; has a probable role in retrograde transport of sterols from the plasma membrane to the ER; co-localizes to puncta in the cortical ER with Ysp2p; has GRAM and StART-like (VASt) domains; one of 6 StART-like domain-containing proteins in yeast that may be involved in sterol transfer between intracellular membranes; conserved across eukaryotes; previously identified as a transcription cofactor that interacts with DNA-bound Snf1p"
"4557",NA,"YLR154W-B",3303,"1 2 3 4 5 7 10 12",0.703017217567087,11.338,0.258,1820,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; encoded within the 25S rRNA gene on the opposite strand"
"1784","ECM8","YBR076W",2688,"4 5 7 10 12 14",0.703017217567087,10.971,-0.172,85.5,"Non-essential protein of unknown function"
"1785","KAP120","YPL125W",1318,"2 4 5 7 10 12 14",0.703380319561908,11.131,-0.275,8530,"Karyopherin responsible for the nuclear import of Rpf1p; Rpf1p is a ribosome maturation factor"
"4558","CIA2","YHR122W",1647,"4 5 7 10 12 14",0.703401294640674,11.316,0.154,319,"Component of cytosolic iron-sulfur protein assembly (CIA) machinery; acts at a late step of Fe-S cluster assembly; forms the CIA targeting complex with Cia1p and Met18p that directs Fe-S cluster incorporation into a subset of proteins involved in methionine biosynthesis, DNA replication and repair, transcription, and telomere maintenance; ortholog of human FAM96B"
"4559","RPS1B","YML063W",3064,"1 2 3 4 5 7 10 12",0.704078842379702,11.554,0.167,768,"Ribosomal protein 10 (rp10) of the small (40S) subunit; homologous to mammalian ribosomal protein S3A, no bacterial homolog; RPS1B has a paralog, RPS1A, that arose from the whole genome duplication"
"1786","ECO1","YFR027W",1084,"2 3 4 5 7 10 14",0.705284257077066,10.101,-0.288,1750,"Acetyltransferase; required for establishment of sister chromatid cohesion; acetylates Mps3p to regulate nuclear organization; modifies Smc3p at replication forks and Mcd1p in response to dsDNA breaks; phosphorylated by three kinases (Cdc28p, Cdc7p, Mck1p) to generate pair of phosphates spaced precisely for recognition by ubiquitin ligase SCF-Cdc4; mutations in human homolog ESCO2 cause Roberts syndrome; relative distribution to nucleus increases upon DNA replication stress"
"4563","DAS1","YJL149W",3027,"4 10 12 14",0.705296521731032,11.138,0.196,NA,"Putative SCF ubiquitin ligase F-box protein; interacts physically with both Cdc53p and Skp1 and genetically with CDC34; similar to putative F-box protein YDR131C"
"4564","PIG1","YLR273C",3109,"1 7 10 12 14",0.705574015095706,11.004,0.21,6140,"Putative targeting subunit for type-1 protein phosphatase Glc7p; tethers Glc7p to Gsy2p glycogen synthase; PIG1 has a paralog, GAC1, that arose from the whole genome duplication"
"4565","BER1","YLR412W",3283,"1 2 3 4 7 10 12",0.70574352100728,10.902,0.174,NA,"Protein involved in microtubule-related processes; GFP-fusion protein localizes to the cytoplasm and is induced in response to the DNA-damaging agent MMS; YLR412W is not an essential gene; similar to Arabidopsis SRR1 gene"
"4566","DAL82","YNL314W",1666,"5 10",0.707388206370845,11.344,0.184,NA,"Positive regulator of allophanate inducible genes; binds a dodecanucleotide sequence upstream of all genes that are induced by allophanate; contains an UISALL DNA-binding, a transcriptional activation, and a coiled-coil domain"
"4567","SGF73","YGL066W",3348,"1 2 3 4 5 12",0.707896496969885,9.308,0.281,NA,"Subunit of DUBm module of SAGA and SLIK; has roles in anchoring deubiquitination module (DUBm) into SAGA and SLIK complexes, maintaining organization and ubiquitin-binding conformation of Ubp8p, thereby contributing to overall DUBm activity; involved in preinitiation complex assembly at promoters; relocalizes to cytosol under hypoxia; human homolog ATXN7 implicated in spinocerebellar ataxia, and can complement yeast null mutant"
"1788","MSS4","YDR208W",1004,"1 2 3 4 5 7 14",0.708097994472595,11.144,-0.196,NA,"Phosphatidylinositol-4-phosphate 5-kinase; involved in actin cytoskeleton organization and cell morphogenesis; multicopy suppressor of stt4 mutation"
"1792","TPO2","YGR138C",1627,"1 2 3 7 10 12",0.708343186845008,10.968,-0.371,2370,"Polyamine transporter of the major facilitator superfamily; member of the 12-spanner drug:H(+) antiporter DHA1 family; specific for spermine; localizes to the plasma membrane; transcription of TPO2 is regulated by Haa1p; TPO2 has a paralog, TPO3, that arose from the whole genome duplication"
"1795",NA,"YJL049W",2814,"3 4 5 7 10 14",0.708568399421514,11.111,-0.211,3150,"Putative protein of unknown function; YJL049W is a non-essential gene"
"4569","MRS1","YIR021W",1426,"2 3 4 10 14",0.709026009808173,10.382,0.22,1310,"Splicing protein; required for splicing of two mitochondrial group I introns (BI3 in COB and AI5beta in COX1); forms a splicing complex, containing four subunits of Mrs1p and two subunits of the BI3-encoded maturase, that binds to the BI3 RNA; MRS1 has a paralog, CCE1, that arose from the whole genome duplication"
"4570","MDL2","YPL270W",2686,"1 2 3 4 5 7 10 14",0.709153375321132,11.309,0.21,2800,"Mitochondrial inner membrane half-type ABC transporter; required for respiratory growth at high temperature; localizes to vacuole membrane in response to H2O2; similar to human TAP1 and TAP2 implicated in bare lymphocyte syndrome and Wegener-like granulomatosis"
"1796","CDC43","YGL155W",321,"1 2 3 10 12 14",0.709489985035911,10.947,-0.182,112,"Beta subunit of geranylgeranyltransferase type I; catalyzes geranylgeranylation to the cysteine residue in proteins containing a C-terminal CaaX sequence ending in Leu or Phe; has substrates important for morphogenesis"
"4571","RAD7","YJR052W",2039,"1 2 3 4 5 7 10 12 14",0.710088237318626,10.609,0.254,2420,"Nucleotide excision repair (NER) protein; binds damaged DNA during NER; binds DNA in an ATP-dependent manner (with Rad16p) during NER; required for repair of non-transcribed chromatin; subunit of Nucleotide Excision Repair Factor 4 (NEF4) and the Elongin-Cullin-Socs (ECS) ligase complex"
"1798",NA,"YEL023C",2591,"3 4 5",0.710088237318626,10.497,-0.237,656,"Putative protein of unknown function; expression is increased greatly during sporulation; YEL023C is not an essential gene"
"4572","MED8","YBR193C",886,"2 3 4 5 7 10 12",0.710410061785132,10.169,0.162,NA,"Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; essential for transcriptional regulation"
"1800","HRT3","YLR097C",3073,"1 2 3 5 7 10 12 14",0.710791224074018,11.43,-0.184,432,"Putative SCF-ubiquitin ligase F-box protein; based on both genetic and physical interactions and sequence similarity; identified in association with Cdc53p, Skp1p and Ubi4 in large and small-scale studies"
"1801","HRK1","YOR267C",2499,"3 7 10 12 14",0.710890503211478,11.267,-0.148,NA,"Protein kinase; implicated in activation of the plasma membrane H(+)-ATPase Pma1p in response to glucose metabolism; plays a role in ion homeostasis; protein abundance increases in response to DNA replication stress"
"4574","DAS2","YDR020C",2674,"1 2 3 4 5 7 10 12 14",0.711056483290537,11.771,0.167,6200,"Putative protein of unknown function; non-essential gene identified in a screen for mutants with increased levels of rDNA transcription; weak similarity with uridine kinases and with phosphoribokinases"
"4575","MRF1","YGL143C",2641,"1 3 4 10 14",0.711589507586379,11.089,0.161,846,"Mitochondrial translation release factor; involved in stop codon recognition and hydrolysis of the peptidyl-tRNA bond during mitochondrial translation; lack of MRF1 causes mitochondrial genome instability"
"1803","YKE2","YLR200W",1050,"2 3 4 5 7 10 12",0.71163332441581,11.218,-0.201,NA,"Subunit of the heterohexameric Gim/prefoldin protein complex; involved in the folding of alpha-tubulin, beta-tubulin, and actin; prefoldin complex also localizes to chromatin of actively transcribed genes in the nucleus and facilitates transcriptional elongation"
"4577","MCK1","YNL307C",1965,"2 3 4 5 7 10 12 14",0.711667056085497,11.968,0.189,279,"Dual-specificity ser/thr and tyrosine protein kinase; roles in chromosome segregation, meiotic entry, genome stability, phosphorylation-dependent protein degradation (Rcn1p and Cdc6p), inhibition of protein kinase A, transcriptional regulation, inhibition of RNA pol III, calcium stress and inhibition of Clb2p-Cdc28p after nuclear division; MCK1 has a paralog, YGK3, that arose from the whole genome duplication"
"4578","GEP5","YLR091W",2819,"1 4 5 7 10 12 14",0.711856293855773,10.848,0.26,NA,"Protein of unknown function; required for mitochondrial genome maintenance; detected in highly purified mitochondria in high-throughput studies; null mutant has decreased levels of cardiolipin and phosphatidylethanolamine"
"1806",NA,"YDL129W",2388,"3 4 7 10 12",0.712304773414665,11.372,-0.179,3570,"Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and the nucleus; YDL129W is not an essential gene; relative distribution to the nucleus increases upon DNA replication stress"
"4579","SOL1","YNR034W",2195,"1 2 3 4 5 7 10 12 14",0.71237490925024,10.966,0.207,NA,"Protein with a possible role in tRNA export; shows similarity to 6-phosphogluconolactonase non-catalytic domains but does not exhibit this enzymatic activity; homologous to Sol3p and Sol4p; SOL1 has a paralog, SOL2, that arose from the whole genome duplication; protein abundance increases in response to DNA replication stress"
"1807","ATO2","YNR002C",1676,"2 3 4 7 10 12",0.713991795802285,10.212,-0.259,3870,"Putative transmembrane protein involved in export of ammonia; ammonia is a starvation signal that promotes cell death in aging colonies; phosphorylated in mitochondria; member of the TC 9.B.33 YaaH family; homolog of Y. lipolytica Gpr1p; ATO2 has a paralog, ADY2, that arose from the whole genome duplication"
"1808","PGU1","YJR153W",251,"3 7 10 12 14",0.714016664466594,11.112,-0.169,3730,"Endo-polygalacturonase; pectolytic enzyme that hydrolyzes the alpha-1,4-glycosidic bonds in the rhamnogalacturonan chains in pectins"
"4580","RPC34","YNR003C",1582,"1 3 4 5 7 14",0.714108887101395,11.148,0.175,6560,"RNA polymerase III subunit C34; interacts with TFIIIB70 and is a key determinant in pol III recruitment by the preinitiation complex"
"1810","SEC59","YMR013C",3311,"3 4 5 7 12 14",0.714483956148565,10.345,-0.219,NA,"Dolichol kinase; catalyzes the terminal step in dolichyl monophosphate (Dol-P) biosynthesis; required for viability and for normal rates of lipid intermediate synthesis and protein N-glycosylation"
"1811","POA1","YBR022W",1700,"1 4 12 14",0.714632538343744,10.737,-0.206,1590,"Phosphatase that is highly specific for ADP-ribose 1''-phosphate; a tRNA splicing metabolite; may have a role in regulation of tRNA splicing"
"4581",NA,"YAL064W",1544,"5 7 10 12 14",0.714861353931974,10.736,0.209,NA,"Protein of unknown function; may interact with ribosomes, based on co-purification experiments"
"4582","SIZ1","YDR409W",3401,"1 2 3 4 5 7",0.715968537052677,11.141,0.174,NA,"SUMO/Smt3 ligase; promotes attachment of small ubiquitin-related modifier sumo (Smt3p) to proteins; regulates Rsp5p ubiquitin ligase activity and is in turn itself regulated by Rsp5p; binds Ubc9p and may bind septins; specifically required for sumoylation of septins in vivo; localized to the septin ring; SIZ1 has a paralog, NFI1, that arose from the whole genome duplication"
"1813","RAD9","YDR217C",109,"10 14",0.716325210751073,11.827,-0.153,830,"DNA damage-dependent checkpoint protein; required for cell-cycle arrest in G1/S, intra-S, and G2/M, plays a role in postreplication repair (PRR) pathway; transmits checkpoint signal by activating Rad53p and Chk1p; hyperphosphorylated by Mec1p and Tel1p; multiple cyclin dependent kinase consensus sites and the C-terminal BRCT domain contribute to DNA damage checkpoint activation; Rad9p Chk1 Activating Domain (CAD) is phosphorylated at multiple sites by Cdc28p/Clb2p"
"1814","RMT2","YDR465C",2873,"3 4 5 7 10 12 14",0.716736952383022,10.672,-0.212,1200,"Arginine N5 methyltransferase; methylates ribosomal protein Rpl12 (L12) on Arg67; relative distribution to the nucleus increases upon DNA replication stress"
"4584","GSC2","YGR032W",462,"1 4 7",0.717796143111823,10.451,0.214,22700,"Catalytic subunit of 1,3-beta-glucan synthase; involved in formation of the inner layer of the spore wall; activity positively regulated by Rho1p and negatively by Smk1p; GSC2 has a paralog, FKS1, that arose from the whole genome duplication"
"1817","TAF11","YML015C",1352,"1 2 3 4 5 10 12 14",0.719099174101475,10.792,-0.178,NA,"TFIID subunit (40 kDa); involved in RNA polymerase II transcription initiation, similar to histone H3 with atypical histone fold motif of Spt3-like transcription factors"
"1818","SOR1","YJR159W",2570,"1 2 3 4 7 14",0.719306882775523,10.16,-0.254,2760,"Sorbitol dehydrogenase; expression is induced in the presence of sorbitol or xylose"
"4586","AGP3","YFL055W",916,"4 5 10",0.719469586780747,11.056,0.179,784,"Low-affinity amino acid permease; may act to supply the cell with amino acids as nitrogen source in nitrogen-poor conditions; transcription is induced under conditions of sulfur limitation; plays a role in regulating Ty1 transposition"
"4588","SNU56","YDR240C",2146,"1 2 3 4 5 7 12 14",0.721031082864598,10.047,0.413,5550,"Component of U1 snRNP required for mRNA splicing via spliceosome; yeast specific, no metazoan counterpart; interacts with mRNA in commitment complex"
"4590","MRP20","YDR405W",2708,"1 2 3 4 5 12 14",0.721355732513569,11.031,0.16,3290,"Mitochondrial ribosomal protein of the large subunit"
"1821","KTR2","YKR061W",2102,"4 5 12",0.721523921782663,9.431,-0.142,656,"Mannosyltransferase involved in N-linked protein glycosylation; member of the KRE2/MNT1 mannosyltransferase family; KTR2 has a paralog, YUR1, that arose from the whole genome duplication"
"4591","PDS1","YDR113C",1882,"5 7 10 12",0.722220132310414,10.776,0.217,583,"Securin; inhibits anaphase by binding separin Esp1p; blocks cyclin destruction and mitotic exit, essential for meiotic progression and mitotic cell cycle arrest; localization is cell-cycle dependent and regulated by Cdc28p phosphorylation"
"4593","ULI1","YFR026C",2378,"4 7 10",0.723306567224427,11.019,0.172,NA,"Putative protein of unknown function; involved in and induced by the endoplasmic reticulum unfolded protein response (UPR)"
"4594","IMA1","YGR287C",2143,"1 2 3 4 5 7 14",0.723397960427537,10.872,0.228,1420,"Major isomaltase (alpha-1,6-glucosidase/alpha-methylglucosidase); required for isomaltose utilization; preferred specificity for isomaltose, alpha-methylglucoside, and palatinose, but also exhibits alpha-1,2 glucosidase activity on sucrose and kojibiose, and can cleave the 1,3-alpha linkage of nigerose and turanose and the alpha-1,5 linkage of leucrose in vitro; member of the IMA isomaltase family"
"4595","HOC1","YJR075W",1014,"1 2 3 5 7 10 12",0.723748281180785,9.967,0.17,2460,"Alpha-1,6-mannosyltransferase; involved in cell wall mannan biosynthesis; subunit of a Golgi-localized complex that also contains Anp1p, Mnn9p, Mnn11p, and Mnn10p; identified as a suppressor of a cell lysis sensitive pkc1-371 allele"
"1824","PUS9","YDL036C",2607,"1 3 4 7 10 12 14",0.723992226856996,10.898,-0.3,NA,"Mitochondrial tRNA:pseudouridine synthase; catalyzes the formation of pseudouridine at position 32 in mitochondrial tRNAs; contains an N-terminal mitochondrial targeting sequence; PUS9 has a paralog, RIB2, that arose from the whole genome duplication"
"4597",NA,"YBL029W",1343,"1 2 3 4 5 10 12 14",0.724276852349202,10.854,0.171,51700,"Non-essential protein of unknown function"
"1825","REF2","YDR195W",2745,"3 5 7 10 12 14",0.724439376165139,11.296,-0.168,21100,"RNA-binding protein; involved in the cleavage step of mRNA 3'-end formation prior to polyadenylation, and in snoRNA maturation; part of holo-CPF subcomplex APT, which associates with 3'-ends of snoRNA- and mRNA-encoding genes; relocalizes to the cytosol in response to hypoxia"
"4599","PUT4","YOR348C",1292,"1 2 4 7 10 12",0.72534299263075,10.866,0.166,NA,"Proline permease; required for high-affinity transport of proline; also transports the toxic proline analog azetidine-2-carboxylate (AzC); PUT4 transcription is repressed in ammonia-grown cells"
"1828","BSC6","YOL137W",1005,"1 3 4 5 7",0.726291194592786,12.288,-0.192,1920,"Protein of unknown function with 8 putative transmembrane segments; ORF exhibits genomic organization compatible with a translational readthrough-dependent mode of expression"
"4600","VBA4","YDR119W",2520,"4 5 7 10 12 14",0.726347452337252,11.254,0.178,1400,"Protein of unknown function; proposed role as a basic amino acid permease based on phylogeny; GFP-fusion protein localizes to vacuolar membrane; physical interaction with Atg27p suggests a possible role in autophagy; non-essential gene"
"4601","IMP2","YMR035W",3157,"1 2 3 4 5 7",0.727394824746023,10.887,0.217,5460,"Catalytic subunit of mitochondrial inner membrane peptidase complex; required for maturation of mitochondrial proteins of the intermembrane space; complex contains two catalytic subunits (Imp1p and Imp2p that differ in substrate specificity), and Som1p"
"1832","HEM13","YDR044W",3004,"1 2 3 4 5 7 14",0.728204940948495,11.46,-0.174,NA,"Coproporphyrinogen III oxidase; an oxygen requiring enzyme that catalyzes the sixth step in the heme biosynthetic pathway; transcription is repressed by oxygen and heme (via Rox1p and Hap1p)"
"1833",NA,"YEL073C",2660,"2 3 5 7 10 12 14",0.730371999297775,10.867,-0.2,NA,"Putative protein of unknown function; located adjacent to ARS503 and the telomere on the left arm of chromosome V; regulated by inositol/choline"
"4609","AFI1","YOR129C",2753,"1 2 4 5 7 10 12 14",0.732630169925675,11.033,0.172,15100,"Arf3p polarization-specific docking factor; required for the polarized distribution of the ADP-ribosylation factor, Arf3p; participates in polarity development and maintenance of a normal haploid budding pattern; interacts with Cnm7p"
"1839","PML1","YLR016C",2952,"2 7 10",0.732630169925675,11.351,-0.173,NA,"Subunit of the RES complex; RES complex is required for nuclear retention of unspliced pre-mRNAs; acts in the same pathway as Pml39p and Mlp1p"
"1841","ENV10","YLR065C",3466,"3 5 7 10 12 14",0.733907616136893,10.482,-0.225,2250,"Protein proposed to be involved in vacuolar functions; putative role in secretory protein quality control; mutant shows defect in CPY processing; YLR065C is not an essential gene"
"4612",NA,"YDL180W",2516,"1 2 3 5 10 14",0.736721842124314,11.187,0.145,238,"Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the vacuole"
"1845","RPM2","YML091C",3166,"2 3 4 5 7 12 14",0.738148034408133,10.807,-0.222,NA,"Protein subunit of mitochondrial RNase P; has roles in nuclear transcription, cytoplasmic and mitochondrial RNA processing, and mitochondrial translation; distributed to mitochondria, cytoplasmic processing bodies, and the nucleus"
"4615","ESC8","YOL017W",414,"1 2 3",0.738804897671136,10.374,0.22,NA,"Protein involved in telomeric and mating-type locus silencing; interacts with Sir2p and also interacts with Gal11p, which is a component of the RNA pol II mediator complex; ESC8 has a paralog, IOC3, that arose from the whole genome duplication"
"1847","VPS64","YDR200C",88,"1 2 3 4 12",0.738804897671136,9.463,-0.173,704,"Protein required for cytoplasm to vacuole targeting of proteins; forms a complex with Far3p and Far7p to Far11p involved in recovery from pheromone-induced cell cycle arrest; mutant has increased aneuploidy tolerance; VPS64 has a paralog, FAR10, that arose from the whole genome duplication"
"4616","CAR2","YLR438W",229,"3 5 10 12 14",0.739723398415089,10.398,0.196,358,"L-ornithine transaminase (OTAse); catalyzes the second step of arginine degradation, expression is dually-regulated by allophanate induction and a specific arginine induction process; not nitrogen catabolite repression sensitive; protein abundance increases in response to DNA replication stress; human homolog OAT complements yeast null mutant"
"1848",NA,"YHL012W",2189,"3 4 5 12",0.741992687950741,11.095,-0.155,1470,"Putative UTP glucose-1-phosphate uridylyltransferase; YHL012W has a paralog, UGP1, that arose from the whole genome duplication"
"1849","DCP1","YOL149W",1212,"1 2 3 4 10",0.742194160042659,10.652,-0.219,752,"Subunit of the Dcp1p-Dcp2p decapping enzyme complex; decapping complex removes the 5' cap structure from mRNAs prior to their degradation; enhances the activity of catalytic subunit Dcp2p; regulated by DEAD box protein Dhh1p; forms cytoplasmic foci upon DNA replication stress"
"1851",NA,"YDR248C",2369,"4 5 7 12 14",0.743044122357105,11.216,-0.206,1320,"Putative gluconokinase; sequence similarity to bacterial and human gluconokinase; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; upregulated by deletion of the RNAP-II associated factor, PAF1"
"4622","AGA1","YNR044W",2964,"1 2 3 4 7 10 12 14",0.743781824656703,11.148,0.238,3090,"Anchorage subunit of a-agglutinin of a-cells; highly O-glycosylated protein with N-terminal secretion signal and C-terminal signal for addition of GPI anchor to cell wall, linked to adhesion subunit Aga2p via two disulfide bonds; AGA1 has a paralog, FIG2, that arose from the whole genome duplication"
"1852","SLY1","YDR189W",101,"3 5 10 12 14",0.743938404290584,10.624,-0.192,3280,"Hydrophilic protein involved in ER/Golgi vesicle trafficking; SM (Sec1/Munc-18) family protein that binds the tSNARE Sed5p and stimulates its assembly into a trans-SNARE membrane-protein complex"
"4623",NA,"YIR021W-A",3339,"1 2 4 10 12 14",0.744277998407257,11.539,0.164,5080,"Putative protein of unknown function; identified by expression profiling and mass spectrometry"
"4629","VTC4","YJL012C",2639,"1 4 5 7 12",0.748287048018272,11.145,0.15,521,"Vacuolar membrane polyphosphate polymerase; subunit of the vacuolar transporter chaperone (VTC) complex involved in synthesis and transfer of polyP to the vacuole; regulates membrane trafficking; role in non-autophagic vacuolar fusion; protein abundance increases in response to DNA replication stress"
"4630",NA,"YIL102C",3455,"1 2 10 14",0.748391959175465,10.839,0.15,752,"Putative protein of unknown function"
"1854","GGA1","YDR358W",2418,"12 14",0.74881290246867,11.193,-0.197,NA,"Golgi-localized protein with homology to gamma-adaptin; interacts with and regulates Arf1p and Arf2p in a GTP-dependent manner in order to facilitate traffic through the late Golgi; GGA1 has a paralog, GGA2, that arose from the whole genome duplication"
"1855","MTC5","YDR128W",2544,"1 2 3 4 7 12 14",0.749082507915827,11.189,-0.154,NA,"Subunit of SEACAT, a subcomplex of the SEA complex; Mtc1p, along with Rtc1p and Sea4p, redundantly inhibit the TORC1 inhibitory role of the Iml1p/SEACIT (Iml1p-Npr2p-Npr3p) subcomplex, a GAP for GTPase Gtr1p (EGOC subunit) in response to amino acid limitation, thereby resulting in activation of TORC1 signaling; SEA is a coatomer-related complex that associates dynamically with the vacuole; relative distribution to the vacuolar membrane decreases upon DNA replication stress"
"4631","KTR7","YIL085C",2510,"1 2 3 4 10 14",0.749434662421019,10.743,0.186,NA,"Putative mannosyltransferase involved in protein glycosylation; member of the KRE2/MNT1 mannosyltransferase family; KTR7 has a paralog, KTR5, that arose from the whole genome duplication"
"1857","CUE2","YKL090W",308,"1 2 3 5 14",0.750153777958657,10.421,-0.215,468,"Protein of unknown function; has two CUE domains that bind ubiquitin, which may facilitate intramolecular monoubiquitination"
"1858","RPL33B","YOR234C",2584,"3 4 5 7",0.750268211439864,10.366,-0.199,13100,"Ribosomal 60S subunit protein L33B; rpl33b null mutant exhibits normal growth while rpl33a rpl33b double null mutant is inviable; homologous to mammalian ribosomal protein L35A, no bacterial homolog; RPL33B has a paralog, RPL33A, that arose from the whole genome duplication"
"4635","BSC4","YNL269W",974,"4 7 10 12",0.750482854580986,10.941,0.156,NA,"Protein of unknown function; protein-coding gene that evolved de novo via a series of point mutations in noncoding sequence; ORF exhibits genomic organization compatible with a translational readthrough-dependent mode of expression; readthrough is increased upon depletion of Sup35p; may be involved in DNA repair pathway during stationary phase and contribute to robustness of cells when shifted to a nutrient-poor environment"
"4636","EXO1","YOR033C",1559,"2 3 4 7",0.75115735295066,10.984,0.207,84300,"5'-3' exonuclease and flap-endonuclease; involved in recombination, double-strand break repair, MMS2 error-free branch of the post replication (PRR) pathway and DNA mismatch repair; role in telomere maintenance; member of the Rad2p nuclease family, with conserved N and I nuclease domains; relative distribution to the nucleus increases upon DNA replication stress; EXO1 has a paralog, DIN7, that arose from the whole genome duplication"
"1860","ANP1","YEL036C",2836,"2 5 7 10 14",0.751904429416893,11.138,-0.153,1070,"Subunit of the alpha-1,6 mannosyltransferase complex; type II membrane protein; has a role in retention of glycosyltransferases in the Golgi; involved in osmotic sensitivity and resistance to aminonitrophenyl propanediol"
"1864","TEC1","YBR083W",314,"1 2 4 5 7 10",0.753697073273086,11.396,-0.134,1840,"Transcription factor targeting filamentation genes and Ty1 expression; Ste12p activation of most filamentation gene promoters depends on Tec1p and Tec1p transcriptional activity is dependent on its association with Ste12p; binds to TCS elements upstream of filamentation genes, which are regulated by Tec1p/Ste12p/Dig1p complex; competes with Dig2p for binding to Ste12p/Dig1p; positive regulator of chronological life span; TEA/ATTS DNA-binding domain family member"
